moa,test_statistic.t,p_value
HDAC INHIBITOR,7.1137278192528,1.63690728411323e-12
MTOR INHIBITOR,4.7737314744218,2.09012299980047e-6
"DNA PROTEIN KINASE INHIBITOR, MTOR INHIBITOR",4.51839652762216,9.82155027563203e-5
MDM INHIBITOR,3.90604458567571,1.13657887803325e-4
TUBULIN POLYMERIZATION INHIBITOR,3.73057549990104,2.00624748632318e-4
ADENOSINE RECEPTOR ANTAGONIST,3.58691741653375,3.48227653421139e-4
PYRUVATE FERREDOXIN OXIDOREDUCTASE INHIBITOR,3.2392920017366,0.00342313861812359
MCL1 INHIBITOR,3.17083330487408,0.00211458756735973
DECAPPING SCAVENGER ENZYME INHIBITOR,3.14053195994982,0.00335539950199879
MONOCARBOXYLATE TRANSPORTER INHIBITOR,3.13261228124164,0.00195131284399382
ENDONUCLEASE INHIBITOR,3.03726609899196,0.00300734189570033
MICROTUBULE INHIBITOR,3.0314150565017,0.0026008635822952
FIBROBLAST GROWTH FACTOR INHIBITOR,2.97637451270022,0.00439525302979369
"MATRIX METALLOPROTEASE INHIBITOR, TUMOR NECROSIS FACTOR PRODUCTION INHIBITOR",2.91293147106305,0.0060375574080004
ANTI-PNEUMOCYSTIS AGENT,2.86322798341223,0.00670729498411015
GLUCOCORTICOID RECEPTOR ANTAGONIST,2.85768722882152,0.00584069444232059
"A1 ADENOSINE RECEPTOR ANTAGONIST, ADENOSINE RECEPTOR ANTAGONIST",2.85359597538989,0.00728120111379862
"ANDROGEN RECEPTOR AGONIST, ESTROGEN RECEPTOR AGONIST",2.77995542747063,0.0078846698216354
CORE BINDING FACTOR INHIBITOR,2.77073871824334,0.00947330714707087
EGFR INHIBITOR,2.71727721990451,0.00666735945474553
LIVER RECEPTOR HOMOLOG INVERSE AGONIST,2.71108360854094,0.0119376458437959
"TANKYRASE INHIBITOR, WNT SIGNALING INHIBITOR",2.67710975662342,0.0113027082368682
ARYL HYDROCARBON RECEPTOR AGONIST,2.66654595101814,0.00849437641133861
FGFR INHIBITOR,2.6521167722895,0.00841728868118494
"GLUCOKINASE INHIBITOR, PROTEIN KINASE INHIBITOR",2.61385438632895,0.0137115840927914
SURVIVAL MOTOR NEURON PROTEIN MODULATOR,2.5905577238922,0.0162674874667813
GUANYLYL CYCLASE ACTIVATOR,2.54979773270408,0.0129190331482345
BDNF INDUCER,2.54886846254361,0.0145203945838708
MITOCHONDRIAL COMPLEX I INHIBITOR,2.52714634843023,0.017835359277375
FIBROBLAST GROWTH FACTOR MIMETIC,2.52014953810425,0.0176722412107016
PHOSPHOINOSITIDE DEPENDENT KINASE INHIBITOR,2.49824287976113,0.0138140068430858
PAR AGONIST,2.47340125922454,0.0172052937117041
"BCR-ABL KINASE INHIBITOR, TIE TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR",2.46487303689347,0.0176101956923575
"GLUTATHIONE TRANSFERASE STIMULANT, MEMBRANE PERMEABILITY ENHANCER",2.42697742854221,0.0208330779036403
RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR INHIBITOR,2.41714994440641,0.0225562302651144
"DNA METHYLTRANSFERASE INHIBITOR, RNA SYNTHESIS INHIBITOR",2.34997602323267,0.0259250559810499
NUCLEAR RECEPTOR ANTAGONIST,2.34853265792618,0.0247986979115857
ATP-SENSITIVE POTASSIUM CHANNEL AGONIST,2.34148999319378,0.0265482089655167
"ABL KINASE INHIBITOR, AURORA KINASE INHIBITOR, FLT3 INHIBITOR",2.33720368058536,0.0258726614133487
O6-ALKYLGUANINE-DNA ALKYLTRANSFERASE INHIBITOR,2.33414972392832,0.0226147205818142
MELANIN INHIBITOR,2.33398480008433,0.0216569650329418
"FOXM1 INHIBITOR, PROTEIN SYNTHESIS INHIBITOR",2.32903664197638,0.0266066200455542
"ELASTASE INHIBITOR, LEUKOCYTE ELASTASE INHIBITOR",2.3148676254021,0.0306119598559046
TOPK INHIBITOR,2.29228628775405,0.0264759707095955
"FLT3 INHIBITOR, KIT INHIBITOR, PKC INHIBITOR",2.28955746718694,0.0285083175326662
