moa,test_statistic,p_value
HDAC INHIBITOR,7.113727819252806,1.6369072841132015e-12
MTOR INHIBITOR,4.773731474421798,2.0901229998004713e-06
"DNA PROTEIN KINASE INHIBITOR, MTOR INHIBITOR",4.518396527622162,9.821550275632073e-05
MDM INHIBITOR,3.906044585675711,0.00011365788780332409
TUBULIN POLYMERIZATION INHIBITOR,3.7305754999010468,0.00020062474863231705
ADENOSINE RECEPTOR ANTAGONIST,3.586917416533749,0.00034822765342113745
PYRUVATE FERREDOXIN OXIDOREDUCTASE INHIBITOR,3.2392920017366,0.0034231386181235845
MCL1 INHIBITOR,3.170833304874075,0.002114587567359736
DECAPPING SCAVENGER ENZYME INHIBITOR,3.1405319599498243,0.003355399501998786
MONOCARBOXYLATE TRANSPORTER INHIBITOR,3.1326122812416397,0.0019513128439938132
ENDONUCLEASE INHIBITOR,3.037266098991957,0.0030073418957003192
MICROTUBULE INHIBITOR,3.0314150565016957,0.002600863582295197
FIBROBLAST GROWTH FACTOR INHIBITOR,2.976374512700218,0.004395253029793683
"MATRIX METALLOPROTEASE INHIBITOR, TUMOR NECROSIS FACTOR PRODUCTION INHIBITOR",2.912931471063049,0.006037557408000399
ANTI-PNEUMOCYSTIS AGENT,2.863227983412235,0.006707294984110137
GLUCOCORTICOID RECEPTOR ANTAGONIST,2.857687228821519,0.005840694442320569
"A1 ADENOSINE RECEPTOR ANTAGONIST, ADENOSINE RECEPTOR ANTAGONIST",2.8535959753898847,0.007281201113798628
"ANDROGEN RECEPTOR AGONIST, ESTROGEN RECEPTOR AGONIST",2.7799554274706337,0.007884669821635404
CORE BINDING FACTOR INHIBITOR,2.7707387182433383,0.009473307147070868
EGFR INHIBITOR,2.7172772199045148,0.006667359454745458
LIVER RECEPTOR HOMOLOG INVERSE AGONIST,2.7110836085409384,0.011937645843795905
"TANKYRASE INHIBITOR, WNT SIGNALING INHIBITOR",2.6771097566234157,0.011302708236868207
ARYL HYDROCARBON RECEPTOR AGONIST,2.666545951018141,0.008494376411338628
FGFR INHIBITOR,2.6521167722894994,0.008417288681184954
"GLUCOKINASE INHIBITOR, PROTEIN KINASE INHIBITOR",2.613854386328955,0.013711584092791407
SURVIVAL MOTOR NEURON PROTEIN MODULATOR,2.590557723892194,0.01626748746678134
GUANYLYL CYCLASE ACTIVATOR,2.54979773270408,0.012919033148234492
BDNF INDUCER,2.548868462543613,0.014520394583870836
MITOCHONDRIAL COMPLEX I INHIBITOR,2.5271463484302314,0.017835359277375097
FIBROBLAST GROWTH FACTOR MIMETIC,2.5201495381042514,0.017672241210701583
PHOSPHOINOSITIDE DEPENDENT KINASE INHIBITOR,2.4982428797611336,0.013814006843085775
PAR AGONIST,2.473401259224535,0.01720529371170407
"BCR-ABL KINASE INHIBITOR, TIE TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR",2.4648730368934664,0.017610195692357472
"GLUTATHIONE TRANSFERASE STIMULANT, MEMBRANE PERMEABILITY ENHANCER",2.426977428542208,0.02083307790364035
RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR INHIBITOR,2.4171499444064066,0.022556230265114434
"DNA METHYLTRANSFERASE INHIBITOR, RNA SYNTHESIS INHIBITOR",2.349976023232672,0.025925055981049903
NUCLEAR RECEPTOR ANTAGONIST,2.3485326579261847,0.02479869791158562
ATP-SENSITIVE POTASSIUM CHANNEL AGONIST,2.341489993193776,0.02654820896551671
"ABL KINASE INHIBITOR, AURORA KINASE INHIBITOR, FLT3 INHIBITOR",2.3372036805853607,0.0258726614133487
O6-ALKYLGUANINE-DNA ALKYLTRANSFERASE INHIBITOR,2.334149723928315,0.022614720581814195
MELANIN INHIBITOR,2.3339848000843286,0.021656965032941785
"FOXM1 INHIBITOR, PROTEIN SYNTHESIS INHIBITOR",2.3290366419763813,0.026606620045554186
"ELASTASE INHIBITOR, LEUKOCYTE ELASTASE INHIBITOR",2.3148676254021034,0.03061195985590463
TOPK INHIBITOR,2.292286287754051,0.026475970709595523
"FLT3 INHIBITOR, KIT INHIBITOR, PKC INHIBITOR",2.2895574671869414,0.02850831753266624
